event_index,robot_pose_x,robot_pose_y,robot_pose_z,robot_pose_th,human_pose_x,human_pose_y,human_pose_z,human_pose_th,modality,target_desired_x,target_desired_y,target_desired_z,target_head_actual_x,target_head_actual_y,target_head_actual_z,target_eyes_actual_x,target_eyes_actual_y,target_eyes_actual_z,target_arms_actual_x,target_arms_actual_y,target_arms_actual_z,target_body_actual_x,target_body_actual_y,target_body_actual_z,target_perceived_x,target_perceived_y,target_perceived_z,target_perceived_error_x,target_perceived_error_y,target_perceived_error_z,target_head_actual_error_x,target_head_actual_error_y,target_head_actual_error_z,target_eyes_actual_error_x,target_eyes_actual_error_y,target_eyes_actual_error_z,target_arms_actual_error_x,target_arms_actual_error_y,target_arms_actual_error_z,target_body_actual_error_x,target_body_actual_error_y,target_body_actual_error_z,target_head_perceived_error_x,target_head_perceived_error_y,target_head_perceived_error_z,target_eyes_perceived_error_x,target_eyes_perceived_error_y,target_eyes_perceived_error_z,target_arms_perceived_error_x,target_arms_perceived_error_y,target_arms_perceived_error_z,target_body_perceived_error_x,target_body_perceived_error_y,target_body_perceived_error_z,t_event_start,t_event_stop,t_experiment_start,t_experiment_stop
54,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,2.23635,47.2653,0,2.23635,47.2653,0,5.73633,50.3314,0,0,0,-0,17.3298,47.4139,-0,8.32976,-3.58609,0,-6.76365,-3.73466,0,-6.76365,-3.73466,0,-3.26367,-0.668599,0,-9,-51,-0,15.0934,0.148562,-0,15.0934,0.148562,-0,11.5934,-2.9175,-0,17.3298,47.4139,2010-Mar-26 17:14:55.854150,2010-Mar-26 17:15:07.953467,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
55,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,2.23635,47.2653,0,2.23635,47.2653,0,-10.7825,50.8293,0,0,0,-0,-17.025,52.8287,-0,-8.02497,1.82875,0,11.2363,-3.73466,0,11.2363,-3.73466,0,-1.78251,-0.170692,0,9,-51,-0,-19.2613,5.5634,-0,-19.2613,5.5634,-0,-6.24246,1.99944,-0,-17.025,52.8287,2010-Mar-26 17:15:11.564596,2010-Mar-26 17:15:20.402485,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
56,-36,0,45,0,36,0,45,3.14159,5,0,1.08876,35.0721,0,2.23635,32.6463,0,2.23635,32.6463,0,-1.70004,35.2709,0,0,0,-0,-2.67526,36.0982,-0,-3.76402,1.02606,0,1.14759,-2.42581,0,1.14759,-2.42581,0,-2.7888,0.198756,0,-1.08876,-35.0721,-0,-4.91161,3.45187,-0,-4.91161,3.45187,-0,-0.975218,0.827299,-0,-2.67526,36.0982,2010-Mar-26 17:15:23.869272,2010-Mar-26 17:15:33.092190,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
57,-36,0,45,0,36,0,45,3.14159,5,0,-46.9739,28.2826,0,-42.8586,25.4452,0,-42.8586,25.4452,0,-43.6327,32.1374,0,0,0,-0,-53.2004,31.4774,-0,-6.2265,3.19471,0,4.11534,-2.83749,0,4.11534,-2.83749,0,3.34127,3.8548,0,46.9739,-28.2826,-0,-10.3418,6.0322,-0,-10.3418,6.0322,-0,-9.56778,-0.660088,-0,-53.2004,31.4774,2010-Mar-26 17:15:36.572711,2010-Mar-26 17:15:44.773437,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
58,-36,0,45,0,36,0,45,3.14159,4,0,35.4127,65.45,0,2.23635,45.4365,0,2.23635,45.4365,0,23.2688,56.3705,0,0,0,-0,44.1714,55.7348,-0,8.75875,-9.71525,0,-33.1763,-20.0135,0,-33.1763,-20.0135,0,-12.1439,-9.07953,0,-35.4127,-65.45,-0,41.9351,10.2982,-0,41.9351,10.2982,-0,20.9027,-0.635717,-0,44.1714,55.7348,2010-Mar-26 17:15:48.283138,2010-Mar-26 17:15:57.781861,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
59,-36,0,45,0,36,0,45,3.14159,4,0,-9,51,0,2.23635,45.4365,0,2.23635,45.4365,0,-11.3522,51.3317,0,0,0,-0,-15.3526,52.2012,-0,-6.35263,1.20116,0,11.2363,-5.56349,0,11.2363,-5.56349,0,-2.35225,0.331674,0,9,-51,-0,-17.589,6.76465,-0,-17.589,6.76465,-0,-4.00038,0.869491,-0,-15.3526,52.2012,2010-Mar-26 17:16:01.225603,2010-Mar-26 17:16:09.328644,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
60,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,2.23635,45.4365,0,2.23635,45.4365,0,-26.885,34.1585,0,0,0,-0,-40.7714,36.4585,-0,-13.7714,3.45852,0,29.2363,12.4365,0,29.2363,12.4365,0,0.114986,1.15846,0,27,-33,-0,-43.0078,-8.97799,-0,-43.0078,-8.97799,-0,-13.8864,2.30007,-0,-40.7714,36.4585,2010-Mar-26 17:16:12.756784,2010-Mar-26 17:16:24.382432,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
61,-36,0,45,0,36,0,45,3.14159,5,0,-7.94753,46.6869,0,-6.73442,45.4432,0,-6.73442,45.4432,0,-9.82233,46.7193,0,0,0,-0,-14.2264,48.0836,-0,-6.27884,1.39671,0,1.21311,-1.2437,0,1.21311,-1.2437,0,-1.8748,0.0323578,0,7.94753,-46.6869,-0,-7.49195,2.64041,-0,-7.49195,2.64041,-0,-4.40404,1.36435,-0,-14.2264,48.0836,2010-Mar-26 17:16:27.957265,2010-Mar-26 17:16:36.089518,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
62,-36,0,45,0,36,0,45,3.14159,1,0,-27,33,0,-27.0914,30.1074,0,-27.0914,30.1074,0,-17.6855,-31.8508,0,0,0,-0,-44.7287,23.8262,-0,-17.7287,-9.17384,0,-0.091407,-2.89265,0,-0.091407,-2.89265,0,9.31452,-64.8508,0,27,-33,-0,-17.6373,-6.28119,-0,-17.6373,-6.28119,-0,-27.0432,55.677,-0,-44.7287,23.8262,2010-Mar-26 17:16:39.557776,2010-Mar-26 17:16:54.079742,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
63,-36,0,45,0,36,0,45,3.14159,4,0,50.5566,32.4742,0,2.01468,45.2704,0,2.01468,45.2704,0,44.6259,35.0488,0,0,0,-0,41.0634,39.0866,-0,-9.49324,6.61244,0,-48.5419,12.7962,0,-48.5419,12.7962,0,-5.93072,2.57465,0,-50.5566,-32.4742,-0,39.0487,-6.1838,-0,39.0487,-6.1838,-0,-3.56251,4.03779,-0,41.0634,39.0866,2010-Mar-26 17:16:57.694968,2010-Mar-26 17:17:07.026345,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
64,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,2.01468,45.2151,0,2.01468,45.2151,0,23.0187,34.2142,0,0,0,-0,46.2146,37.4006,-0,19.2146,4.40061,0,-24.9853,12.2151,0,-24.9853,12.2151,0,-3.98134,1.21422,0,-27,-33,-0,44.1999,-7.81448,-0,44.1999,-7.81448,-0,23.1959,3.18639,-0,46.2146,37.4006,2010-Mar-26 17:17:10.598456,2010-Mar-26 17:17:22.939766,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
65,-36,0,45,0,36,0,45,3.14159,1,0,-27,33,0,-27.439,29.4969,0,-27.439,29.4969,0,-17.7507,-36.2465,0,0,0,-0,-47.3259,27.2971,-0,-20.3259,-5.70293,0,-0.439005,-3.50311,0,-0.439005,-3.50311,0,9.24926,-69.2465,0,27,-33,-0,-19.8869,-2.19982,-0,-19.8869,-2.19982,-0,-29.5752,63.5436,-0,-47.3259,27.2971,2010-Mar-26 17:17:26.602980,2010-Mar-26 17:17:37.933204,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
66,-36,0,45,0,36,0,45,3.14159,5,0,-22.6909,59.5,0,-23.1508,59.7165,0,-23.1508,59.7165,0,-24.6466,57.8659,0,0,0,-0,-43.9267,62.1386,-0,-21.2358,2.63862,0,-0.45988,0.216505,0,-0.45988,0.216505,0,-1.95569,-1.63413,0,22.6909,-59.5,-0,-20.7759,2.42212,-0,-20.7759,2.42212,-0,-19.2801,4.27275,-0,-43.9267,62.1386,2010-Mar-26 17:17:41.543218,2010-Mar-26 17:17:51.890799,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
67,-36,0,45,0,36,0,45,3.14159,4,0,9,51,0,1.57179,43.0573,0,1.57179,43.0573,0,6.1416,49.8992,0,0,0,-0,19.7554,44.2275,-0,10.7554,-6.77247,0,-7.42821,-7.94268,0,-7.42821,-7.94268,0,-2.8584,-1.10077,0,-9,-51,-0,18.1837,1.17021,-0,18.1837,1.17021,-0,13.6139,-5.6717,-0,19.7554,44.2275,2010-Mar-26 17:17:55.492984,2010-Mar-26 17:18:09.630293,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
68,-36,0,45,0,36,0,45,3.14159,4,0,27,33,0,1.57179,43.0573,0,1.57179,43.0573,0,23.0136,34.4928,0,0,0,-0,44.2077,37.2363,-0,17.2077,4.2363,0,-25.4282,10.0573,0,-25.4282,10.0573,0,-3.9864,1.4928,0,-27,-33,-0,42.6359,-5.82102,-0,42.6359,-5.82102,-0,21.1941,2.7435,-0,44.2077,37.2363,2010-Mar-26 17:18:13.296638,2010-Mar-26 17:18:22.023055,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
69,-36,0,45,0,36,0,45,3.14159,4,0,-27,33,0,1.57179,43.0573,0,1.57179,43.0573,0,-26.5942,33.7676,0,0,0,-0,-45.6809,35.3351,-0,-18.6809,2.33515,0,28.5718,10.0573,0,28.5718,10.0573,0,0.405791,0.767613,0,27,-33,-0,-47.2527,-7.72218,-0,-47.2527,-7.72218,-0,-19.0867,1.56753,-0,-45.6809,35.3351,2010-Mar-26 17:18:25.509463,2010-Mar-26 17:19:38.273469,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
70,-36,0,45,0,36,0,45,3.14159,5,0,-49.4585,79.382,0,-43.9424,82.4406,0,-43.9424,82.4406,0,-57.7564,69.5018,0,0,0,-0,29.9626,58.1788,-0,79.4211,-21.2031,0,5.51604,3.05865,0,5.51604,3.05865,0,-8.29795,-9.88019,0,49.4585,-79.382,-0,73.905,-24.2618,-0,73.905,-24.2618,-0,87.719,-11.323,-0,29.9626,58.1788,2010-Mar-26 17:19:45.335754,2010-Mar-26 17:20:15.543396,2010-Mar-26 16:47:57.986899,2010-Mar-26 16:47:36.985042
